iter	Passed	Remaining
407	56036	81307
408	56202	81212
409	56344	81080
410	56491	80956
411	56614	80798
412	56751	80661
413	56915	80561
414	57056	80428
415	57203	80305
416	57363	80199
417	57510	80075
418	57652	79943
419	57818	79845
420	57966	79721
421	58110	79592
422	58257	79466
423	58412	79353
424	58549	79213
425	58690	79080
426	58836	78953
427	58974	78816
428	59118	78687
429	59263	78558
430	59388	78403
431	59520	78258
432	59664	78128
433	59800	77988
434	59943	77858
435	60085	77725
436	60231	77597
437	60385	77480
438	60536	77359
439	60660	77204
440	60799	77067
441	60919	76907
442	61063	76776
443	61219	76662
444	61366	76535
445	61512	76408
446	61670	76294
447	61825	76178
448	61979	76059
449	62129	75935
450	62288	75823
451	62430	75690
452	62582	75569
453	62751	75467
454	62890	75330
455	63043	75210
456	63182	75072
457	63339	74956
458	63483	74825
459	63626	74691
460	63752	74538
461	63883	74392
462	64028	74261
463	64169	74126
464	64316	73998
465	64442	73846
466	64571	73696
467	64707	73555
468	64851	73424
469	64977	73272
470	65118	73137
471	65263	73006
472	65414	72882
473	65559	72751
474	65700	72616
475	65854	72495
476	66031	72399
477	66177	72269
478	66327	72143
479	66491	72032
480	66652	71917
481	66801	71790
482	66969	71683
483	67117	71554
484	67259	71419
485	67402	71286
486	67570	71177
487	67718	71049
488	67868	70921
489	68029	70806
490	68189	70688
491	68350	70573
492	68494	70439
493	68636	70303
494	68776	70165
495	68918	70030
496	69079	69913
497	69233	69789
498	69386	69664
499	69513	69513
500	69663	69385
501	69797	69241
502	69952	69118
503	70096	68983
504	70240	68849
505	70369	68700
506	70523	68576
507	70651	68426
508	70791	68288
509	70955	68172
510	71107	68045
511	71254	67914
512	71399	67780
513	71564	67665
514	71695	67518
515	71835	67380
516	71980	67247
517	72114	67102
518	72266	66975
519	72424	66853
520	72578	66727
521	72734	66603
522	72870	66461
523	73031	66341
524	73187	66217
525	73337	66087
526	73489	65959
527	73630	65821
528	73776	65687
529	73955	65583
530	74111	65458
531	74256	65323
532	74401	65188
533	74561	65066
534	74716	64940
535	74870	64813
536	75022	64684
537	75175	64555
538	75327	64426
539	75465	64285
540	75614	64153
541	75759	64018
542	75916	63892
543	76072	63766
544	76236	63647
545	76390	63518
546	76546	63392
547	76706	63269
548	76839	63122
549	77003	63002
550	77154	62872
551	77284	62723
552	77443	62599
553	77586	62461
554	77724	62319
555	77861	62177
556	78004	62039
557	78143	61898
558	78291	61764
559	78428	61622
560	78565	61479
561	78715	61347
562	78855	61207
563	79016	61083
564	79163	60948
565	79320	60821
566	79453	60676
567	79610	60549
568	79764	60419
569	79907	60281
570	80054	60146
571	80194	60005
572	80360	59884
573	80503	59746
574	80646	59608
575	80789	59470
576	80932	59332
577	81074	59192
578	81221	59057
579	81374	58926
580	81500	58775
581	81649	58642
582	81802	58510
583	81988	58402
584	82149	58277
585	82285	58133
586	82441	58003
587	82584	57865
588	82717	57719
589	82878	57593
590	83042	57469
591	83172	57321
592	83313	57181
593	83473	57054
594	83628	56923
595	83781	56791
596	83910	56642
597	84058	56507
598	84195	56364
599	84347	56231
600	84476	56083
601	84585	55921
602	84729	55783
603	84877	55648
604	85027	55513
605	85165	55371
606	85301	55228
607	85414	55069
608	85547	54924
609	85703	54794
610	85848	54656
611	86004	54525
612	86155	54391
613	86300	54254
614	86428	54105
615	86588	53977
616	86737	53841
617	86892	53710
618	87024	53564
619	87178	53431
620	87305	53283
621	87469	53156
622	87608	53015
623	87750	52875
624	87901	52740
625	88046	52603
626	88185	52461
627	88335	52325
628	88472	52183
629	88612	52042
630	88752	51901
631	88891	51759
632	89027	51616
633	89152	51466
634	89288	51323
635	89428	51182
636	89568	51041
637	89687	50888
638	89795	50729
639	89922	50581
640	90055	50436
641	90194	50295
642	90322	50148
643	90466	50009
644	90617	49874
645	90751	49730
646	90899	49594
647	91032	49449
648	91187	49317
649	91331	49178
650	91485	49045
651	91614	48898
652	91754	48757
653	91873	48605
654	92016	48466
655	92151	48323
656	92300	48187
657	92452	48052
658	92581	47906
659	92727	47768
660	92868	47628
661	93027	47497
662	93189	47367
663	93332	47228
664	93474	47088
665	93625	46953
666	93783	46821
667	93943	46690
668	94100	46557
669	94244	46419
670	94397	46284
671	94562	46155
672	94702	46014
673	94858	45880
674	95016	45748
675	95160	45609
676	95319	45477
677	95467	45340
678	95605	45197
679	95757	45062
680	95918	44930
681	96075	44797
682	96217	44657
683	96344	44510
684	96488	44370
685	96637	44233
686	96778	44092
687	96937	43960
688	97084	43821
689	97250	43692
690	97379	43545
691	97524	43406
692	97667	43266
693	97841	43140
694	97989	43002
695	98137	42864
696	98282	42725
697	98419	42582
698	98542	42433
699	98679	42291
700	98821	42150
701	98948	42003
702	99081	41859
703	99229	41721
704	99401	41593
705	99549	41455
706	99710	41322
707	99863	41186
708	100016	41050
709	100188	40922
710	100328	40780
711	100467	40638
712	100620	40502
713	100763	40361
714	100960	40242
715	101094	40099
716	101237	39958
717	101366	39812
718	101511	39672
719	101655	39532
720	101800	39392
721	101946	39253
722	102084	39111
723	102244	38977
724	102391	38838
725	102545	38701
726	102687	38560
727	102808	38411
728	102948	38270
729	103087	38128
730	103219	37983
731	103348	37838
732	103498	37700
733	103629	37555
734	103778	37416
735	103954	37288
736	104104	37149
737	104254	37011
738	104380	36865
739	104537	36729
740	104685	36590
741	104836	36452
742	104983	36313
743	105122	36171
744	105273	36033
745	105417	35892
746	105554	35750
747	105725	35618
748	105852	35472
749	106008	35336
750	106148	35194
751	106291	35053
752	106450	34917
753	106594	34777
754	106716	34629
755	106853	34487
756	107012	34351
757	107154	34210
758	107277	34063
759	107425	33923
760	107582	33787
761	107721	33645
762	107862	33503
763	108023	33368
764	108170	33228
765	108306	33085
766	108448	32944
767	108579	32800
768	108748	32667
769	108900	32528
770	109031	32384
771	109185	32246
772	109332	32106
773	109486	31968
774	109649	31833
775	109790	31692
776	109941	31553
777	110098	31416
778	110253	31278
779	110378	31132
780	110499	30985
781	110644	30844
782	110798	30706
783	110935	30563
784	111083	30424
785	111224	30282
786	111363	30140
787	111506	29999
788	111642	29856
789	111784	29714
790	111937	29576
791	112091	29438
792	112226	29295
793	112389	29158
794	112527	29016
795	112675	28876
796	112825	28737
797	112963	28594
798	113103	28452
799	113245	28311
800	113382	28168
801	113505	28022
802	113635	27878
803	113781	27737
804	113909	27593
805	114051	27451
806	114204	27312
807	114352	27172
808	114487	27029
809	114626	26887
810	114762	26744
811	114896	26601
812	115055	26464
813	115203	26324
814	115357	26185
815	115508	26046
816	115656	25905
817	115820	25769
818	115971	25629
819	116143	25494
820	116260	25347
821	116389	25203
822	116530	25061
823	116663	24918
824	116799	24775
825	116932	24632
826	117082	24492
827	117222	24350
828	117358	24207
829	117525	24071
830	117671	23930
831	117801	23786
