,Feat ['bicoh'] NFFT [512] HopSize [256],Feat ['bicoh'] NFFT [256] HopSize [128],Feat ['bicoh'] NFFT [128] HopSize [64],Feat ['lpc'] NFFT [] HopSize [],"Feat ['lpc', 'bicoh'] NFFT [512] HopSize [256]","Feat ['lpc', 'bicoh'] NFFT [256] HopSize [128]","Feat ['lpc', 'bicoh'] NFFT [128] HopSize [64]"
dev,0.72605613413702,0.6949681296713436,0.687488487984413,0.9256493315098842,0.9066762969743707,0.9209011985003124,0.9419062326291108
eval,0.5917242491472476,0.578242626174436,0.5783446955255771,0.7385599484123287,0.7411328478317702,0.7366208986035945,0.735406366066626
